"ko","pval","chisq","n","avg_fc","module","padj","lpadj","avg_lfc","lfc"
"Fgf4",0.00193152618323982,145.775654359113,42,1.15385951881308,"cluster4turquoise",0.0141728869289675,1.84854167765527,0.206467588065948,0.206467588065948
"Fgf3",1.26700340921392e-16,263.220268761088,48,0.825417228299462,"cluster4turquoise",3.9456680971977e-15,14.403879449651,-0.276804543963298,-0.276804543963298
"Fgf15",0.987819502081412,70.9020691053805,45,1.00334501762501,"cluster4turquoise",1,0,0.00481778703277068,0.00481778703277068
"Fbxw7",8.55337829738219e-15,249.685168467707,49,1.33012341539508,"cluster4turquoise",2.39919228128699e-13,12.6199349444642,0.411560112281338,0.4
"Fat4",0.448266503298314,101.177329529765,44,0.894872097139533,"cluster4turquoise",1,0,-0.160246600229826,-0.160246600229826
"Fat3",0.018505947763874,131.681838477683,43,1.16775344853137,"cluster4turquoise",0.104558604865888,0.980640220216042,0.22373570561489,0.22373570561489
"Fat2",0.693462413280331,92.3798144526561,40,1.04382817382885,"cluster4turquoise",1,0,0.0618842471885512,0.0618842471885512
"Fat1",2.29536796216128e-103,766.824745058093,46,0.869459100777388,"cluster4turquoise",6.48441449310561e-101,20,-0.201809929912615,-0.201809929912615
"Fam135b",0.00801165411344188,137.231444810652,41,1.09480155724095,"cluster4turquoise",0.0502104885621358,1.29920555279798,0.130669391900083,0.130669391900083
"Fadd",0.641620896142165,94.3107331912481,40,1.15979956021406,"cluster4turquoise",1,0,0.213875496325587,0.213875496325587
"Erich3",0.959316814895106,76.7636828220225,39,1.08021300686582,"cluster4turquoise",1,0,0.111315825026172,0.111315825026172
"Erbb4",0.0177817489998385,131.957703176793,41,0.912373195725587,"cluster4turquoise",0.101189665171743,0.994863841133384,-0.132304032018336,-0.132304032018336
"Epha7",0.726692148356554,91.0822890755959,41,0.983556490641838,"cluster4turquoise",1,0,-0.0239201787045044,-0.0239201787045044
"Epha5",0.00189539888411809,145.883171679364,44,1.17052601461346,"cluster4turquoise",0.0139595951334954,1.85512717726004,0.227156998300215,0.227156998300215
"Ep300",0.231929793629784,110.013584150449,44,1.27856685439218,"cluster4turquoise",0.839233608239521,0.0761171325591236,0.354527598967035,0.354527598967035
"Dst",9.22454128344817e-14,241.841531279981,49,0.677281962948457,"cluster4turquoise",2.36902992052192e-12,11.625429454163,-0.562171519787331,-0.4
"Dscam",0.973018013348608,74.602555449503,39,0.976608932505278,"cluster4turquoise",1,0,-0.0341471213128329,-0.0341471213128329
"Dnah9",0.809660180901515,87.4914304233571,45,1.13382597754777,"cluster4turquoise",1,0,0.181199228821053,0.181199228821053
"Dnah8",0.747277528993459,90.2460237942895,46,0.80639268226799,"cluster4turquoise",1,0,-0.310445547943857,-0.310445547943857
"Dnah7a",4.88945242041666e-09,203.365138439652,43,1.21770572299439,"cluster4turquoise",7.70429654292745e-08,7.11326700931051,0.284165526288404,0.284165526288404
"Dnah6",0.99989394056646,55.8660154715885,39,0.946481433686859,"cluster4turquoise",1,0,-0.0793538887899813,-0.0793538887899813
"Dnah5",1.40269168746784e-148,1001.10200872328,49,1.42911018623874,"cluster4turquoise",1.38691140598382e-145,20,0.515117154370637,0.4
"Dnah3",0.528125260661148,98.343486743664,46,1.08130059030916,"cluster4turquoise",1,0,0.112767633032118,0.112767633032118
"Dnah17",0.115018373190909,117.215605587347,41,1.08716791321561,"cluster4turquoise",0.48697773192644,0.312490897353287,0.12057478199808,0.12057478199808
"Dnah11",4.74997466500676e-216,1340.36014254797,50,1.58676613432983,"cluster4turquoise",1.87861498001018e-212,20,0.666089512101896,0.4
"Dnah10",5.64509367812144e-09,202.81877716538,48,0.835030906394624,"cluster4turquoise",8.82464248892107e-08,7.05430288007429,-0.260098498885003,-0.260098498885003
"Dmd",0.982534481184428,72.5093480441847,41,0.981924571061694,"cluster4turquoise",1,0,-0.0263158902402664,-0.0263158902402664
"Dgkb",0.899292679945415,82.4080719419704,47,0.82435762835792,"cluster4turquoise",1,0,-0.278657742034561,-0.278657742034561
"D630045J12Rik",0.128377479225195,116.178470765451,42,1.02696734348997,"cluster4turquoise",0.528895215519982,0.276630361668232,0.0383903061603544,0.0383903061603544
"Cubn",0.526215822481201,98.4106326718325,40,1.090609539537,"cluster4turquoise",1,0,0.125134679845936,0.125134679845936
"Cttn",0.912651812552777,81.421428312418,41,0.924315087916058,"cluster4turquoise",1,0,-0.113543361984748,-0.113543361984748
"Csmd3",4.37023670749847e-05,165.297571040307,42,1.09654792338989,"cluster4turquoise",0.000440925667810114,3.35563461865196,0.132968864748485,0.132968864748485
"Csmd2",0.739908566182597,90.5486621906298,43,1.03046711884679,"cluster4turquoise",1,0,0.0432984706864844,0.0432984706864844
"Csmd1",0.544683322056563,97.7613830726124,43,0.8997448943299,"cluster4turquoise",1,0,-0.152412084395689,-0.152412084395689
