"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fat2",12873.7916865885,-0.34000031825889,0.483181271725766,-0.703670316203522,0.481638110229202,0.849291194217397
"Fat3",4749.69501901966,0.185411275969948,0.582956128780978,0.318053566668322,0.750444304535055,0.921504857958568
"Fat4",10061.8736543032,0.546067265436435,0.61150711948683,0.89298594903472,0.37186469729542,0.790184635088893
"Fbxw7",3082.55344159952,-1.25277660037716,0.756505778681897,-1.65600400642007,0.0977210074783339,0.426451286756737
"Fgf15",4917.75403037163,-0.15377120769885,0.640222342123896,-0.240184069785387,0.810187562742796,0.921504857958568
"Fgf3",7970.21384930951,0.113157354560167,0.498585364858759,0.226956831338646,0.820457309853464,0.921504857958568
"Fgf4",7603.16918836477,-0.066580223931816,0.632550517713821,-0.105256769328799,0.916172065437623,0.962522678010716
"Flg",6063.88037159043,0.121518483303588,0.565010758690352,0.215072866196845,0.829710508514947,0.921504857958568
"Fmn2",6193.20994348961,-0.0365283748465438,0.504306639577709,-0.0724328652050497,0.942257430824137,0.962522678010716
"Herc2",9758.35850835222,-0.292614113959062,0.57649572218953,-0.507573781896792,0.611752281176861,0.901016244932655
"Hmcn1",5671.14045210259,2.17713701625207,0.542707530099761,4.01162116886763,6.03032125827187e-05,0.00333446101859168
"Hras",10332.552133698,1.03764271581174,0.62053602045779,1.67217160906508,0.0944904871941456,0.426451286756737
"Huwe1",1611.7635433909,0.207937312917001,0.690850903397209,0.300987249049664,0.763424217733766,0.921504857958568
"Kdr",7640.77206232044,0.324588470344944,0.699765251749185,0.463853370160319,0.642752802937701,0.901790355290197
"Kmt2c",11818.0552662111,-1.81973168246048,0.634947076371405,-2.86595804623573,0.0041574933905807,0.0593927627225814
"Kmt2d",6470.21394149342,0.953347690488313,0.509910180548799,1.86963847135246,0.0615340390946071,0.399552318969309
"Lama2",6103.76908418534,0.450211840072756,0.595417640200913,0.756127816301916,0.449572565875247,0.840182712759893
"Lama5",13529.1000976367,-0.103426995457194,0.627628514329043,-0.16479014750909,0.869109159169499,0.933335041833185
"Lrp1",8721.97233525743,0.297207264372668,0.52939445330279,0.561409857089451,0.574518165892291,0.891300677446295
"Lrp1b",4831.53671190266,0.495429808104625,0.473777227543771,1.04570202893269,0.295698625777531,0.712526809102485
"Lrp2",6630.19713304005,-0.424988160816596,0.450030178134081,-0.944354804334869,0.344988368849987,0.775254761460645
"Macf1",8867.45470631748,-0.561729034519264,0.497616576078159,-1.12883907314019,0.258965726407789,0.689875350426765
"Magi2",8081.47884907928,0.520250997691892,0.487303677698886,1.06761147411936,0.285695805677116,0.705421742412632
"Mdn1",441.858076501578,-0.352599397223668,0.803355154079531,-0.43890848951815,0.660727845070668,0.903129306756752
"Mgam",11167.5311662686,0.12423327344999,0.586105381760606,0.211964055127433,0.832135076981947,0.921504857958568
